DISCTAG,length,sex
3D61534BAF9EC,108,F
3D61534BAF9EB,143,F
3D61534BAF9EA,148.5,F
3D61534BAF9E9,100,F
3D61534BAF9E8,109.5,F
3D61534BAF9E7,91.5,F
3D61534BAF9E6,98,F
3D61534BAF9E5,122,F
3D61534BAF9E4,127.5,F
3D61534BAF9E3,139,F
3D61534BAF9E2,138,F
3D61534BAF9E1,83,F
3D61534BAF9E0,140,F
3D61534BAF9DF,94.5,F
3D61534BAF9DE,109.5,F
3D61534BAF9DD,141,F
3D61534BAF9DC,97.5,F
3D61534BAF9DB,91.5,F
3D61534BAF9DA,111,F
3D61534BAF9D9,139.5,F
3D61534BAF9D8,53.5,F
3D61534BAF9D7,84.5,F
3D61534BAF9D6,82.5,F
3D61534BAF9D5,97,F
3D61534BAF9D4,145,F
3D61534BAF9D3,144,F
3D61534BAF9D2,85.5,F
3D61534BAF9D1,99.5,F
3D61534BAF9D0,94,F
3D61534BAF9CF,143,F
3D61534BAF9CE,103,F
3D61534BAF9CD,92,F
3D61534BAF9CC,135,F
3D61534BAF9CB,82.5,F
3D61534BAF9CA,124,F
3D61534BAF9C9,142,F
3D61534BAF9C8,145.5,F
3D61534BAF9C7,84.5,F
3D61534BAF9C6,86,F
3D61534BAF9C5,98,F
3D61534BAF9C4,90,F
3D61534BAF9C3,127,F
3D61534BAF9C2,102.5,F
3D61534BAF9C1,133,F
3D61534BAF9C0,119.5,F
3D61534BAF9BF,98,F
3D61534BAF9BE,144,F
3D61534BAF9BD,148,F
3D61534BAF9BC,120,F
3D61534BAF9BB,104,F
3D61534BAF9BA,139,F
3D61534BAF9B9,83,F
3D61534BAF9B8,103,F
3D61534BAF9B7,92.5,F
3D61534BAF9B6,101,F
3D61534BAF9B5,81,F
3D61534BAF9B4,81,F
3D61534BAF9B3,111,F
3D61534BAF9B2,67.5,F
3D61534BAF9B1,55,F
3D61534BAF9B0,101.5,F
3D61534BAF9AF,93,F
3D61534BAF9AE,120.5,F
3D61534BAF9AD,158,F
3D61534BAF9AC,146,F
3D61534BAF9AB,104,F
3D61534BAF9AA,57.5,F
3D61534BAF9A9,139,F
3D61534BAF9A8,136.5,F
3D61534BAF9A7,136.5,F
3D61534BAF9A6,125,F
3D61534BAF9A5,132,F
3D61534BAF9A4,204,F
3D61534BAF9A3,187,F
3D61534BAF9A2,97,F
3D61534BAF9A1,59,F
3D61534BAF9A0,81,F
3D61534BAF99F,175,F
3D61534BAF99E,147,F
3D61534BAF99D,105,F
3D61534BAF99C,113,F
3D61534BAF99B,79,F
3D61534BAF99A,86,F
3D61534BAF999,95,F
3D61534BAF998,123.5,F
3D61534BAF996,163,F
3D61534BAF995,57.5,F
3D61534BAF994,100.5,F
3D61534BAF992,57,F
3D61534BAF990,132,F
3D61534BAF98E,94,F
3D61534BAF98D,85,F
3D61534BAF98C,106.5,F
3D61534BAF98B,92,F
3D61534BAF98A,101,F
3D61534BAF989,153.5,F
3D61534BAF988,88,F
3D61534BAF987,111,F
3D61534BAF986,60.5,F
3D61534BAF984,101,F
3D61534BAF983,109,F
3D61534BAF982,99,F
3D61534BAF981,136.5,F
3D61534BAF980,89,F
3D61534BAF97F,193,F
3D61534BAF97E,60,F
3D61534BAF97D,166.5,F
3D61534BAF97C,150,F
3D61534BAF97B,102,F
3D61534BAF97A,94,F
3D61534BAF979,137,F
3D61534BAF978,152,F
3D61534BAF977,95,F
3D61534BAF976,100,F
3D61534BAF975,157,F
3D61534BAF974,97.5,F
3D61534BAF973,98,F
3D61534BAF971,154,F
3D61534BAF970,92.5,F
3D61534BAF96F,101,F
3D61534BAF96E,139,F
3D61534BAF96D,158,F
3D61534BAF96C,119,F
3D61534BAF96B,108,F
3D61534BAF96A,98,F
3D61534BAF969,154,F
3D61534BAF968,108,F
3D61534BAF967,134,F
3D61534BAF966,56.5,F
3D61534BAF965,97.5,F
3D61534BAF964,101,F
3D61534BAF963,93,F
3D61534BAF962,97,F
3D61534BAF961,96,F
3D61534BAF960,149,F
3D61534BAF95D,123,F
3D61534BAF95C,87,F
3D61534BAF95B,162,F
3D61534BAF95A,72,F
3D61534BAF959,123.5,F
3D61534BAF958,111,F
3D61534BAF957,97,F
3D61534BAF956,60,F
3D61534BAF955,114,F
3D61534BAF954,98,F
3D61534BAF953,62,F
3D61534BAF952,136.5,F
3D61534BAF951,58,F
3D61534BAF950,57.5,F
3D61534BAF94F,90,F
3D61534BAF94E,120,F
3D61534BAF94D,129,F
3D61534BAF94A,59,F
3D61534BAF949,87.5,F
3D61534BAF948,107,F
3D61534BAF947,106.5,F
3D61534BAF946,105,F
3D61534BAF945,82,F
3D61534BAF944,127,F
3D61534BAF943,109,F
3D61534BAF942,122,F
3D61534BAF941,95.5,F
3D61534BAF940,92,F
3D61534BAF93F,101.5,F
3D61534BAF93E,82,F
3D61534BAF93D,111,F
3D61534BAF93C,78,F
3D61534BAF93B,173,F
3D61534BAF939,155,F
3D61534BAF938,167,F
3D61534BAF937,126.5,F
3D61534BAF936,155,F
3D61534BAF935,81,F
3D61534BAF934,117,F
3D61534BAF933,166,F
3D61534BAF932,155,F
3D61534BAF931,99,F
3D61534BAF930,99.5,F
3D61534BAF92F,114.5,F
3D61534BAF92E,102,F
3D61534BAF92D,116,F
3D61534BAF92C,94,F
3D61534BAF92B,102.5,F
3D61534BAF92A,100,F
3D61534BAF929,121,F
3D61534BAF928,101,F
3D61534BAF927,149.5,F
3D61534BAF926,93.5,F
3D61534BAF925,92,F
3D61534BAF924,151,F
3D61534BAF923,200,F
3D61534BAF922,83,F
3D61534BAF921,109,F
3D61534BAF920,58,F
3D61534BAF91F,102,F
3D61534BAF91E,177,F
3D61534BAF91D,103,F
3D61534BAF91C,93,F
3D61534BAF91B,164,F
3D61534BAF91A,94.5,F
3D61534BAF919,152,F
3D61534BAF918,99,F
3D61534BAF917,90,F
3D61534BAF916,80,F
3D61534BAF915,83.5,F
3D61534BAF914,150,F
3D61534BAF913,113,F
3D61534BAF912,83,F
3D61534BAF911,176,F
3D61534BAF910,96,F
3D61534BAF90F,191,F
3D61534BAF90E,110,F
3D61534BAF90D,146,F
3D61534BAF90C,170,F
3D61534BAF90B,171.5,F
3D61534BAF90A,116,F
3D61534BAF909,95,F
3D61534BAF908,155,F
3D61534BAF906,96,F
3D61534BAF905,210,F
3D61534BAF904,121,F
3D61534BAF903,82,F
3D61534BAF902,79,F
3D61534BAF901,94.5,F
3D61534BAF900,115,F
3D61534BAF8FF,113,F
3D61534BAF8FE,109,F
3D61534BAF8FD,146,F
3D61534BAF8FC,81,F
3D61534BAF8FB,118.5,F
3D61534BAF8FA,113.5,F
3D61534BAF8F9,138,F
3D61534BAF8F8,129,F
3D61534BAF8F6,105.5,F
3D61534BAF8F5,91,F
3D61534BAF8F4,103,F
3D61534BAF8F3,169,F
3D61534BAF8F2,100,F
3D61534BAF8F1,91,F
3D61534BAF8F0,137,F
3D61534BAF8EF,133,F
3D61534BAF8EE,67,F
3D61534BAF8ED,121.5,F
3D61534BAF8EC,77,F
3D61534BAF8EB,110,F
3D61534BAF8EA,92,F
3D61534BAF8E9,128,F
3D61534BAF8E8,112,F
3D61534BAF8E7,147.5,F
3D61534BAF8E6,92,F
3D61534BAF8E5,83,F
3D61534BAF8E4,139,F
3D61534BAF8E3,90,F
3D61534BAF8E2,51,F
3D61534BAF8E1,122,F
3D61534BAF8E0,120,F
3D61534BAF8DF,140,F
3D61534BAF8DE,144.5,F
3D61534BAF8DD,139,F
3D61534BAF8DC,83,F
3D61534BAF8CC,121.5,F
3D61534BAF876,91.5,F
3D61534BAF873,93,F
3D61534BAF872,141,F
3D61534BAF871,61.5,F
3D61534BAF870,127,F
3D61534BAF86F,115,F
3D61534BAF86A,104.5,F
3D61534BAF866,117,F
3D61534BAF863,61.5,F
3D61534BAF861,84,F
3D61534BAF85F,94,F
3D61534BAF858,155.5,F
3D61534BAF857,105,F
3D61534BAF854,87.5,F
3D61534BAF852,152,F
3D61534BAF84F,94,F
3D61534BAF84E,88.5,F
3D61534BAF84B,63.5,F
3D61534BAF84A,146,F
3D61534BAF849,87,F
3D61534BAF848,102,F
3D61534BAF847,93.5,F
3D61534BAF846,94,F
3D61534BAF842,100.5,F
3D61534BAF841,156,F
3D61534BAF840,103,F
3D61534BAF83F,187,F
3D61534BAF83E,87,F
3D61534BAF83D,120.5,F
3D61534BAF831,111,F
3D61534BAF82F,100,F
3D61534BAF82E,147,F
3D61534BAF82B,175,F
3D61534BAF827,159.5,F
3D61534BAF825,100,F
3D61534BAF823,101,F
3D61534BAF81A,51,F
3D61534BAF819,88,F
3D61534BAF818,107.5,F
3D61534BAF817,93.5,F
3D61534BAF816,93,F
3D61534BAF815,93,F
3D61534BAB096,105,F
3D61534BAB075,135,F
3D61534BAB074,147,F
3D61534BAB073,93,F
3D61534BAB072,132,F
3D61534BAB071,140,F
3D61534BAB070,98.5,F
3D61534BAB06F,153,F
3D61534BAB06E,114,F
3D61534BAB06D,103,F
3D61534BAB06C,149,F
3D61534BAB06B,95,F
3D61534BAB06A,126,F
3D61534BAB069,98,F
3D61534BAB068,208.5,F
3D61534BAB067,98,F
3D61534BAB066,99,F
3D61534BAB065,102,F
3D61534BAB064,90,F
3D61534BAB063,113,F
3D61534BAB062,79,F
3D61534BAB061,56,F
3D61534BAB060,127.5,F
3D61534BAB05F,106,F
3D61534BAB05E,150,F
3D61534BAB05D,92.5,F
3D61534BAB05C,57,F
3D61534BAB05B,138,F
3D61534BAB05A,131,F
3D61534BAB059,108,F
3D61534BAB058,144,F
3D61534BAB057,97,F
3D61534BAB056,111,F
3D61534BAB055,147,F
3D61534BAB054,144,F
3D61534BAB053,102.5,F
3D61534BAB052,202,F
3D61534BAB051,98,F
3D61534BAB050,117.5,F
3D61534BAB04F,94,F
3D61534BAB04E,55,F
3D61534BAB04D,126,F
3D61534BAB04C,128,F
3D61534BAB04B,84,F
3D61534BAB04A,109,F
3D61534BAB049,90.5,F
3D61534BAB048,99,F
3D61534BAB047,152.5,F
3D61534BAB046,117,F
3D61534BAB045,150,F
3D61534BAB044,120,F
3D61534BAB043,96,F
3D61534BAB042,94,F
3D61534BAB041,98,F
3D61534BAB040,101,F
3D61534BAB03F,95,F
3D61534BAB03E,120,F
3D61534BAB03D,102,F
3D61534BAB03C,173,F
3D61534BAB03B,110,F
3D61534BAB03A,155,F
3D61534BAB039,104.5,F
3D61534BAB038,154,F
3D61534BAB037,110,F
3D61534BAB036,52,F
3D61534BAB035,79,F
3D61534BAB034,132,F
3D61534BAB033,148,F
3D61534BAB032,123,F
3D61534BAB031,118,F
3D61534BAB030,129,F
3D61534BAB02F,106,F
3D61534BAB02E,116,F
3D61534BAB02D,102.5,F
3D61534BAB02C,172,F
3D61534BAB02B,188,F
3D61534BAB02A,88,F
3D61534BAB029,87,F
3D61534BAB028,98,F
3D61534BAB027,72,F
3D61534BAB026,112,F
3D61534BAB025,112,F
3D61534BAB024,78,F
3D61534BAB023,119,F
3D61534BAB022,82,F
3D61534BAB021,149,F
3D61534BAB020,99.5,F
3D61534BAB01F,127,F
3D61534BAB01D,53,F
3D61534BAB01C,99.5,F
3D61534BAB01B,80,F
3D61534BAB01A,89,F
3D61534BAB019,95.5,F
3D61534BAB017,56,F
3D61534BAB016,112,F
3D61534BAB015,80,F
3D61534BAB014,143,F
3D61534BAB012,105,F
3D61534BAAFAD,98,F
3D61534BAAFAC,82,F
3D61534BAAFAB,159,F
3D61534BAAFA9,106,F
3D61534BAAFA8,95,F
3D61534BAAFA7,92.5,F
3D61534BAAFA6,102,F
3D61534BAAFA5,154,F
3D61534BAAFA4,81,F
3D61534BAAFA3,56,F
3D61534BAAFA2,202,F
3D61534BAAFA1,144,F
3D61534BAAFA0,82,F
3D61534BAAF9F,170,F
3D61534BAAF9E,83,F
3D61534BAAF9D,87,F
3D61534BAAF9C,78.5,F
3D61534BAAF9B,142,F
3D61534BAAF9A,101,F
3D61534BAAF99,87,F
3D61534BAAF98,103,F
3D61534BAAF97,137,F
3D61534BAAF96,135,F
3D61534BAAF95,109,F
3D61534BAAF94,152,F
3D61534BAAF93,133,F
3D61534BAAF92,107.5,F
3D61534BAAF91,161,F
3D61534BAAF90,140,F
3D61534BAAF8F,178,F
3D61534BAAF8E,105,F
3D61534BAAF8D,114,F
3D61534BAAF8C,76,F
3D61534BAAF8B,90,F
3D61534BAAF8A,115,F
3D61534BAAF89,141,F
3D61534BAAF88,103,F
3D61534BAAF87,90,F
3D61534BAAF86,89,F
3D61534BAAF85,156,F
3D61534BAAF84,112,F
3D61534BAAF83,98,F
3D61534BAAF82,107,F
3D61534BAAF81,116,F
3D61534BAAF80,117,F
3D61534BAAF7F,156,F
3D61534BAAF7E,92,F
3D61534BAAF7D,97,F
3D61534BAAF7C,58,F
3D61534BAAF7B,107,F
3D61534BAAF7A,106,F
3D61534BAAF79,126,F
3D61534BAAF78,99,F
3D61534BAAF77,89,F
3D61534BAAF76,140,F
3D61534BAAF75,91,F
3D61534BAAF74,93,F
3D61534BAAF73,78,F
3D61534BAAF72,103,F
3D61534BAAF71,88,F
3D61534BAAF70,55,F
3D61534BAAF6F,88,F
3D61534BAAF6E,100,F
3D61534BAAF6D,102,F
3D61534BAAF6C,93,F
3D61534BAAF6B,78,F
3D61534BAAF6A,107,F
3D61534BAAF69,48.5,F
3D61534BAAF68,103,F
3D61534BAAF67,103,F
3D61534BAAF66,158,F
3D61534BAAF65,130,F
3D61534BAAF64,125,F
3D61534BAAF63,92,F
3D61534BAAF62,122,F
3D61534BAAF61,98,F
3D61534BAAF60,98,F
3D61534BAAF5F,94,F
3D61534BAAF5E,149,F
3D61534BAAF5D,83,F
3D61534BAAF5C,97,F
3D61534BAAF5B,150,F
3D61534BAAF5A,101,F
3D61534BAAF59,91,F
3D61534BAAF58,130,F
3D61534BAAF57,130,F
3D61534BAAF56,77,F
3D61534BAAF55,122,F
3D61534BAAF54,172,F
3D61534BAAF53,142,F
3D61534BAAF52,105,F
3D61534BAAF51,156,F
3D61534BAAF50,129,F
3D61534BAAF4F,149,F
3D61534BAAF4D,81,F
3D61534BAAF4C,111,F
3D61534BAAF4B,75,F
3D61534BAAF4A,68.5,F
3D61534BAAF49,130,F
3D61534BAAF48,135,F
3D61534BAAF47,108.5,F
3D61534BAAF46,131,F
3D61534BAAF45,130,F
3D61534BAAF44,139,F
3D61534BAAF43,98,F
3D61534BAAF42,80,F
3D61534BAAF41,94,F
3D61534BAAF40,96,F
3D61534BAAF3F,91,F
3D61534BAAF3D,125,F
3D61534BAAF3C,123,F
3D61534BAAF3B,142,F
3D61534BAAF3A,86.5,F
3D61534BAAF39,163,F
3D61534BAAF38,132,F
3D61534BAAF37,109,F
3D61534BAAF36,157,F
3D61534BAAF35,108,F
3D61534BAAF34,98,F
3D61534BAAF32,153,F
3D61534BAAF31,93.5,F
3D61534BAAF30,132.5,F
3D61534BAAF2F,98,F
3D61534BAAF2E,133,F
3D61534BAAF2D,105,F
3D61534BAAF2C,98,F
3D61534BAAF2B,101,F
3D61534BAAF2A,84.5,F
3D61534BAAF29,78.5,F
3D61534BAAF28,84,F
3D61534BAAF27,82,F
3D61534BAAF26,91,F
3D61534BAAF25,93,F
3D61534BAAF24,152,F
3D61534BAAF23,91,F
3D61534BAAF22,85,F
3D61534BAAF20,82,F
3D61534BAAF1F,108,F
3D61534BAAF1E,139,F
3D61534BAAF1D,97.5,F
3D61534BAAF1C,90,F
3D61534BAAF1B,74,F
3D61534BAAF1A,160.5,F
3D61534BAAF19,106,F
3D61534BAAF18,117,F
3D61534BAAF16,110,F
3D61534BAAF15,89,F
3D61534BAAF14,100,F
3D61534BAAF12,64,F
3D61534BAAF11,148,F
3D61534BAAF10,100.5,F
3D61534BAAF0F,101,F
3D61534BAAF0E,96,F
3D61534BAAF0D,105,F
3D61534BAAF0C,140.5,F
3D61534BAAF0B,174,F
3D61534BAAF0A,93,F
3D61534BAAF09,95,F
3D61534BAAF08,99,F
3D61534BAAF07,101.5,F
3D61534BAAF06,110,F
3D61534BAAF05,154,F
3D61534BAAF04,126,F
3D61534BAAF03,96,F
3D61534BAAF02,103.5,F
3D61534BAAF01,151,F
3D61534BAAF00,82,F
3D61534BAAEFF,86,F
3D61534BAAEFE,159.5,F
3D61534BAAEFD,108,F
3D61534BAAEFC,84,F
3D61534BAAEFB,108,F
3D61534BAAEFA,100,F
3D61534BAAEF9,52,F
3D61534BAAEF8,105,F
3D61534BAAEF7,115,F
3D61534BAAEF6,85,F
3D61534BAAEF5,130,F
3D61534BAAEF4,138,F
3D61534BAAEF3,154,F
3D61534BAAEF2,60,F
3D61534BAAEF1,136,F
3D61534BAAEF0,58,F
3D61534BAAEEF,85.5,F
3D61534BAAEEE,85,F
3D61534BAAEED,109,F
3D61534BAAEEC,93,F
3D61534BAAEEB,106,F
3D61534BAAEEA,84,F
3D61534BAAEE9,95,F
3D61534BAAEE8,95,F
3D61534BAAEE7,137,F
3D61534BAAEE6,107,F
3D61534B1446D,78,F
3D61534B14443,93,F
3D61534B1443D,145,F
3D61534B14415,101,F
3D61534B14413,109,F
3D61534B14412,94,F
3D61534B1440F,92,F
3D61534B1440E,160,F
3D61534B1440B,85,F
3D61534B1440A,118,F
3D61534B14409,54,F
3D61534B14408,103,F
3D61534B14407,98.5,F
3D61534B14406,92,F
3D61534B14405,93,F
3D61534B14400,139,F
3D61534B143FF,107,F
3D61534B143FE,91,F
3D61534B143FD,111,F
3D61534B143FB,83,F
3D61534B143FA,108,F
3D61534B143F9,103,F
3D61534B143F7,156,F
3D61534B143F6,129,F
3D61534B143F4,92,F
3D61534B143F3,144,F
3D61534B143F1,99,F
3D61534B143EF,128.5,F
3D61534B143EE,111,F
