DiscTag,sex,length
3D61534B14437,M,95
3D61534B14439,M,150
3D61534B1443A,M,172
3D61534B1443B,M,94
3D61534B1443C,M,147
3D61534B1443D,M,150
3D61534B1443E,M,165
3D61534B1443F,M,94
3D61534B14440,M,118
3D61534B14441,M,84
3D61534B14442,M,142
3D61534B14443,M,101
3D61534B14444,M,142
3D61534B14445,M,172
3D61534B14446,M,104
3D61534B14447,M,117
3D61534B14448,M,137
3D61534B1444A,M,94
3D61534B1444B,M,102
3D61534B1444C,M,196
3D61534B1444D,M,124
3D61534B1444E,M,122
3D61534B1444F,M,182
3D61534B14450,M,84
3D61534B14451,M,123
3D61534B14453,M,162
3D61534B14454,M,56
3D61534B14455,M,127
3D61534B14456,M,122
3D61534B14457,M,132
3D61534B14458,M,203
3D61534B14459,M,109
3D61534B1445B,M,85
3D61534B1445C,M,165
3D61534B1445D,M,109
3D61534B1445E,M,254
3D61534B1445F,M,172
3D61534B14460,M,123
3D61534B14461,M,122
3D61534B14464,M,140
3D61534B14465,M,102
3D61534B14467,M,143
3D61534B14468,M,150
3D61534B1446B,M,160
3D61534B1446D,M,84
3D61534B1446E,M,147
3D61534B1446F,M,91
3D61534B14470,M,157
3D61534B14471,M,102
3D61534B14472,M,173
3D61534B14473,M,106
3D61534B14474,M,170
3D61534B14475,M,99
3D61534B14476,M,115
3D61534B14477,M,171
3D61534B14478,M,150
3D61534B14479,M,91
3D61534BAAE82,M,109
3D61534BAAE83,M,130
3D61534BAAE84,M,155
3D61534BAAE85,M,163
3D61534BAAE86,M,109
3D61534BAAE87,M,176
3D61534BAAE88,M,96
3D61534BAAE89,M,122
3D61534BAAE8A,M,148
3D61534BAAE8B,M,160
3D61534BAAE8C,M,145
3D61534BAAE8D,M,176
3D61534BAAE8E,M,140
3D61534BAAE8F,M,185
3D61534BAAE90,M,124
3D61534BAAE91,M,91
3D61534BAAE92,M,56
3D61534BAAE93,M,154
3D61534BAAE94,M,120
3D61534BAAE96,M,143
3D61534BAAE97,M,102
3D61534BAAE98,M,97
3D61534BAAE99,M,96
3D61534BAAE9A,M,104
3D61534BAAE9B,M,137
3D61534BAAE9C,M,94
3D61534BAAE9D,M,115
3D61534BAAE9E,M,125
3D61534BAAE9F,M,115
3D61534BAAEA0,M,97
3D61534BAAEA1,M,153
3D61534BAAEA2,M,125
3D61534BAAEA3,M,161
3D61534BAAEA4,M,161
3D61534BAAEA5,M,173
3D61534BAAEA6,M,94
3D61534BAAEA8,M,183
3D61534BAAEA9,M,102
3D61534BAAEAA,M,86
3D61534BAAEAB,M,132
3D61534BAAEAD,M,188
3D61534BAAEAE,M,194
3D61534BAAEAF,M,112
3D61534BAAEB0,M,163
3D61534BAAEB1,M,109
3D61534BAAEB2,M,168
3D61534BAAEB3,M,95
3D61534BAAEB4,M,104
3D61534BAAEB5,M,56
3D61534BAAEB6,M,122
3D61534BAAEB7,M,92
3D61534BAAEB9,M,117
3D61534BAAEBA,M,104
3D61534BAAEBB,M,137
3D61534BAAEBC,M,61
3D61534BAAEBD,M,128
3D61534BAAEBE,M,144
3D61534BAAEBF,M,186
3D61534BAAEC0,M,118
3D61534BAAEC1,M,173
3D61534BAAEC2,M,155
3D61534BAAEC3,M,150
3D61534BAAEC4,M,79
3D61534BAAEC5,M,155
3D61534BAAEC6,M,86
3D61534BAAEC7,M,115
3D61534BAAEC8,M,86
3D61534BAAEC9,M,86
3D61534BAAECA,M,203
3D61534BAAECD,M,95
3D61534BAAECE,M,161
3D61534BAAECF,M,51
3D61534BAAED0,M,99
3D61534BAAED1,M,109
3D61534BAAED2,M,155
3D61534BAAED3,M,155
3D61534BAAED4,M,173
3D61534BAAED5,M,145
3D61534BAAED6,M,134
3D61534BAAED7,M,84
3D61534BAAED8,M,165
3D61534BAAED9,M,84
3D61534BAAEDA,M,145
3D61534BAAEDC,M,155
3D61534BAAEDD,M,106
3D61534BAAEDF,M,190
3D61534BAAEE0,M,162
3D61534BAAEE1,M,130
3D61534BAAEE2,M,138
3D61534BAAEE3,M,106
3D61534BAAEE4,M,96
3D61534BAAEE5,M,119
3D61534BAAFAE,M,53
3D61534BAAFAF,M,152
3D61534BAAFB0,M,104
3D61534BAAFB1,M,111
3D61534BAAFB2,M,144
3D61534BAAFB4,M,153
3D61534BAAFB5,M,106
3D61534BAAFB7,M,145
3D61534BAAFB8,M,181
3D61534BAAFB9,M,196
3D61534BAAFBA,M,161
3D61534BAAFBC,M,161
3D61534BAAFBE,M,54
3D61534BAAFBF,M,103
3D61534BAAFC0,M,164
3D61534BAAFC1,M,150
3D61534BAAFC2,M,166
3D61534BAAFC3,M,106
3D61534BAAFC5,M,160
3D61534BAAFC6,M,161
3D61534BAAFC7,M,126
3D61534BAAFC8,M,100
3D61534BAAFC9,M,145
